kind,experiment_key,model_key,condition,train_dataset,seed,rank,lora_alpha,benchmark,accuracy,n_eval,detail_path,metric_name,elapsed_hours,estimated_cu,adapter_dir,trainable_params,pct_trainable,base_accuracy,delta_vs_base,full_condition_accuracy,delta_vs_full,efficiency_ratio
base_eval,,falcon_h1_0_5b_base,__base__,,3407,,,mmlu,0.517578125,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/falcon_h1_0_5b_base__base__mmlu.jsonl,accuracy,2.970942900247044,5.050602930419974,,,,0.517578125,0.0,,,0.0
base_eval,,falcon_h1_0_5b_base,__base__,,3407,,,gsm8k,0.3828125,256,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/falcon_h1_0_5b_base__base__gsm8k.jsonl,accuracy,2.970942900247044,5.050602930419974,,,,0.3828125,0.0,,,0.0
base_eval,,falcon_h1_0_5b_base,__base__,,3407,,,arc_challenge,0.7424749163879598,299,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/falcon_h1_0_5b_base__base__arc_challenge.jsonl,accuracy,2.970942900247044,5.050602930419974,,,,0.7424749163879598,0.0,,,0.0
base_eval,,falcon_h1_0_5b_base,__base__,,3407,,,hellaswag,0.330078125,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/falcon_h1_0_5b_base__base__hellaswag.jsonl,accuracy,2.970942900247044,5.050602930419974,,,,0.330078125,0.0,,,0.0
base_eval,,qwen3_5_0_8b_base,__base__,,3407,,,mmlu,0.482421875,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/qwen3_5_0_8b_base__base__mmlu.jsonl,accuracy,0.9250847540961371,1.572644081963433,,,,0.482421875,0.0,,,0.0
base_eval,,qwen3_5_0_8b_base,__base__,,3407,,,gsm8k,0.296875,128,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/qwen3_5_0_8b_base__base__gsm8k.jsonl,accuracy,0.9250847540961371,1.572644081963433,,,,0.296875,0.0,,,0.0
base_eval,,qwen3_5_0_8b_base,__base__,,3407,,,arc_challenge,0.7324414715719063,299,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/qwen3_5_0_8b_base__base__arc_challenge.jsonl,accuracy,0.9250847540961371,1.572644081963433,,,,0.7324414715719063,0.0,,,0.0
base_eval,,qwen3_5_0_8b_base,__base__,,3407,,,hellaswag,0.416015625,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/qwen3_5_0_8b_base__base__hellaswag.jsonl,accuracy,0.9250847540961371,1.572644081963433,,,,0.416015625,0.0,,,0.0
train_eval,train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,16.0,32.0,mmlu,0.515625,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__mmlu.jsonl,accuracy,2.3592352137962975,4.010699863453706,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407/final_adapter,11466496.0,2.1518067188412497,0.517578125,-0.001953125,0.515625,0.0,-0.0004869785988717987
train_eval,train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,16.0,32.0,gsm8k,0.359375,256,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__gsm8k.jsonl,accuracy,2.3592352137962975,4.010699863453706,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407/final_adapter,11466496.0,2.1518067188412497,0.3828125,-0.0234375,0.359375,0.0,-0.005843743186461584
